Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,.01,.04,.06,-.01,-.12,-.24,-.17,.07,-.05,-.14,.01,.06,-.04,***,***,-.02,-.11,-.06
1881,-.08,-.06,.10,.10,.09,-.05,-.07,-.02,-.04,.00,.01,.10,.01,.00,-.02,.10,-.05,-.01
1882,.07,.08,.07,-.01,-.04,-.15,-.04,.02,-.04,.04,.00,-.06,.00,.01,.08,.01,-.06,.00
1883,-.01,-.07,-.09,-.06,-.10,-.02,-.08,-.05,-.10,-.06,-.03,-.05,-.06,-.06,-.05,-.08,-.05,-.06
1884,-.08,-.05,-.10,-.21,-.31,-.29,-.21,-.06,-.11,-.06,-.09,-.14,-.14,-.13,-.06,-.20,-.19,-.09
1885,-.19,-.22,-.29,-.35,-.32,-.42,-.33,-.22,-.19,-.13,-.10,-.09,-.24,-.24,-.18,-.32,-.32,-.14
1886,-.14,-.19,-.16,-.19,-.15,-.31,-.21,-.18,-.14,-.24,-.14,-.28,-.20,-.18,-.14,-.17,-.24,-.17
1887,-.36,-.43,-.27,-.30,-.34,-.27,-.27,-.16,-.30,-.22,-.24,-.22,-.28,-.29,-.36,-.31,-.23,-.25
1888,-.20,-.13,-.21,-.19,-.29,-.31,-.21,-.10,-.05,.06,.07,.15,-.12,-.15,-.18,-.23,-.21,.03
1889,.08,.03,.13,.03,.02,-.13,-.07,-.20,-.17,-.10,-.05,-.03,-.04,-.02,.09,.06,-.13,-.11
1890,-.20,-.32,-.34,-.34,-.43,-.33,-.33,-.39,-.38,-.39,-.24,-.16,-.32,-.31,-.18,-.37,-.35,-.34
1891,-.21,-.25,-.20,-.19,-.17,-.28,-.23,-.22,-.24,-.16,-.10,-.05,-.19,-.20,-.21,-.19,-.24,-.16
1892,-.08,-.06,-.14,-.21,-.23,-.38,-.26,-.21,-.13,-.01,-.02,-.11,-.15,-.15,-.06,-.19,-.28,-.05
1893,-.12,-.17,-.12,-.24,-.24,-.32,-.15,-.17,-.17,-.08,-.03,-.02,-.15,-.16,-.13,-.20,-.21,-.09
1894,-.14,-.15,-.24,-.35,-.34,-.40,-.27,-.20,-.23,-.18,-.03,-.06,-.21,-.21,-.10,-.31,-.29,-.14
